S.NO,REGULATION,Year,SEMESTER,ODD EVEN,DEPARTMENT,Course Code,Course Title,L,T,P,C,"As per Regulation
L/T/P",Category,Venue,Faculty
1,2023,1,1,ODD,Aeronautical Engineering,HS23111,Technical Communication -I,2,0,0,2,2,Theory,,English
2,2023,1,1,ODD,Aeronautical Engineering,MA23112,Algebra and Calculus,3,1,0,4,4,Theory,,Mathematics
3,2023,1,1,ODD,Aeronautical Engineering,PH23131,Physics of Materials,3,0,2,4,5,LOT,Physics Lab,Physics
4,2023,1,1,ODD,Aeronautical Engineering,GE23111,Engineering Graphics,4,2,0,4,6,Theory,,Aeronautical Engineering
5,2023,1,1,ODD,Aeronautical Engineering,GE23117,தமிழர் மரபு /Heritage of Tamils,1,0,0,1,1,Theory,,Aeronautical Engineering
6,2023,1,1,ODD,Aeronautical Engineering,EE23133,Basic Electrical and Electronics Engineering,3,0,2,4,5,LOT,Basic electronics lab-1,Electrical and Electronics Engineering
7,2023,1,1,ODD,Aeronautical Engineering,MC23112,Environmental Science and Engineering,3,0,0,0,3,Theory,,Chemistry
8,2023,1,1,ODD,Aeronautical Engineering,GE23121,Engineering Practices – Civil and Mechanical,0,0,2,1,2,Laboratory,Machine shop - EPL - 1,Aeronautical Engineering
10,2023,1,2,EVEN,Aeronautical Engineering,HS23221/HS23222,Technical Communication II/ English for Professional Competence,2,0,0,1,2,Theory,,English
11,2023,1,2,EVEN,Aeronautical Engineering,MA23212,"Differential Equation and Analytical 
Complex Functions",3,1,0,4,4,Theory,,Mathematics
12,2023,1,2,EVEN,Aeronautical Engineering,CY23223,Engineering Chemistry ,3,0,2,4,5,LOT,Chemistry Lab,Chemistry
13,2023,1,2,EVEN,Aeronautical Engineering,GE23211,Engineering Mechanics,2,1,0,3,3,Theory,,Aeronautical Engineering
14,2023,1,2,EVEN,Aeronautical Engineering,AE23211,Fundamentals of Aerospace Engineering ,3,0,0,3,3,Theory,,Aeronautical Engineering
15,2023,1,2,EVEN,Aeronautical Engineering,GE23233,Problem Solving and Python Programming,2,0,4,4,6,LOT,Computer Lab,Aeronautical Engineering
16,2023,1,2,EVEN,Aeronautical Engineering,GE23217,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,1,0,0,1,1,Theory,,Aeronautical Engineering
17,2023,1,2,EVEN,Aeronautical Engineering,MC23111,Indian Constitution and Freedom Movement,3,0,0,0,3,Theory,,English
18,2023,1,2,EVEN,Aeronautical Engineering,GE23122,Engineering Practices – Electrical and Electronics,0,0,2,1,2,Laboratory,"Engineering Practices Lab (Electrical), Engineering Practices Lab (Electronics)",Electrical and Electronics Engineering
20,2023,2,3,ODD,Aeronautical Engineering,MA23311,Transforms and Applied Partial Differential Equations,3,1,0,4,4,Theory,,Mathematics
21,2023,2,3,ODD,Aeronautical Engineering,AE23331,Solid Mechanics,2,1,2,4,5,LOT,Strength of Materials Lab,Aeronautical Engineering
22,2023,2,3,ODD,Aeronautical Engineering,AE23332,Fluid Mechanics and Fluid Machinery,2,1,2,4,5,LOT,Fluid Mechanics Lab,Aeronautical Engineering
23,2023,2,3,ODD,Aeronautical Engineering,AE23333,Aero Engineering Thermodynamics,2,1,2,4,5,LOT,Thermal Lab 1,Aeronautical Engineering
